Datum;Zeit;Time;Lu_Gecko - microwave(02Alex) Wirkenergie(kWh)
19.03.2024;21:14:37;2024-03-19T21:14:37+01:00;5.659
19.03.2024;21:09:37;2024-03-19T21:09:37+01:00;5.659
19.03.2024;21:04:37;2024-03-19T21:04:37+01:00;5.659
19.03.2024;20:59:37;2024-03-19T20:59:37+01:00;5.659
19.03.2024;20:54:37;2024-03-19T20:54:37+01:00;5.659
19.03.2024;20:49:37;2024-03-19T20:49:37+01:00;5.659
19.03.2024;20:44:37;2024-03-19T20:44:37+01:00;5.659
19.03.2024;20:39:37;2024-03-19T20:39:37+01:00;5.659
19.03.2024;20:34:37;2024-03-19T20:34:37+01:00;5.659
19.03.2024;20:29:37;2024-03-19T20:29:37+01:00;5.659
19.03.2024;20:24:37;2024-03-19T20:24:37+01:00;5.659
19.03.2024;20:19:37;2024-03-19T20:19:37+01:00;5.659
19.03.2024;20:14:37;2024-03-19T20:14:37+01:00;5.659
19.03.2024;20:09:37;2024-03-19T20:09:37+01:00;5.659
19.03.2024;20:04:37;2024-03-19T20:04:37+01:00;5.659
19.03.2024;19:59:37;2024-03-19T19:59:37+01:00;5.659
19.03.2024;19:54:37;2024-03-19T19:54:37+01:00;5.659
19.03.2024;19:49:37;2024-03-19T19:49:37+01:00;5.659
19.03.2024;19:44:37;2024-03-19T19:44:37+01:00;5.659
19.03.2024;19:39:37;2024-03-19T19:39:37+01:00;5.659
19.03.2024;19:34:37;2024-03-19T19:34:37+01:00;5.659
19.03.2024;19:29:37;2024-03-19T19:29:37+01:00;5.659
19.03.2024;19:24:37;2024-03-19T19:24:37+01:00;5.659
19.03.2024;19:19:37;2024-03-19T19:19:37+01:00;5.659
19.03.2024;19:14:37;2024-03-19T19:14:37+01:00;5.659
19.03.2024;19:09:37;2024-03-19T19:09:37+01:00;5.659
19.03.2024;19:04:37;2024-03-19T19:04:37+01:00;5.659
19.03.2024;18:59:37;2024-03-19T18:59:37+01:00;5.659
19.03.2024;18:54:37;2024-03-19T18:54:37+01:00;5.659
19.03.2024;18:49:37;2024-03-19T18:49:37+01:00;5.659
19.03.2024;18:44:37;2024-03-19T18:44:37+01:00;5.659
19.03.2024;18:39:37;2024-03-19T18:39:37+01:00;5.659
19.03.2024;18:34:37;2024-03-19T18:34:37+01:00;5.659
19.03.2024;18:29:37;2024-03-19T18:29:37+01:00;5.659
19.03.2024;18:24:37;2024-03-19T18:24:37+01:00;5.659
19.03.2024;18:19:37;2024-03-19T18:19:37+01:00;5.659
19.03.2024;18:14:37;2024-03-19T18:14:37+01:00;5.659
19.03.2024;18:09:37;2024-03-19T18:09:37+01:00;5.659
19.03.2024;18:04:37;2024-03-19T18:04:37+01:00;5.659
19.03.2024;17:59:37;2024-03-19T17:59:37+01:00;5.659
19.03.2024;17:54:37;2024-03-19T17:54:37+01:00;5.659
19.03.2024;17:49:37;2024-03-19T17:49:37+01:00;5.659
19.03.2024;17:44:37;2024-03-19T17:44:37+01:00;5.659
19.03.2024;17:39:37;2024-03-19T17:39:37+01:00;5.659
19.03.2024;17:34:37;2024-03-19T17:34:37+01:00;5.659
19.03.2024;17:29:37;2024-03-19T17:29:37+01:00;5.659
19.03.2024;17:24:36;2024-03-19T17:24:36+01:00;5.659
19.03.2024;17:19:37;2024-03-19T17:19:37+01:00;5.659
19.03.2024;17:14:37;2024-03-19T17:14:37+01:00;5.659
19.03.2024;17:09:36;2024-03-19T17:09:36+01:00;5.659
19.03.2024;17:04:36;2024-03-19T17:04:36+01:00;5.659
19.03.2024;16:59:36;2024-03-19T16:59:36+01:00;5.659
19.03.2024;16:54:36;2024-03-19T16:54:36+01:00;5.659
19.03.2024;16:49:36;2024-03-19T16:49:36+01:00;5.659
19.03.2024;16:44:36;2024-03-19T16:44:36+01:00;5.659
19.03.2024;16:39:36;2024-03-19T16:39:36+01:00;5.659
19.03.2024;16:34:36;2024-03-19T16:34:36+01:00;5.659
19.03.2024;16:29:36;2024-03-19T16:29:36+01:00;5.659
19.03.2024;16:24:36;2024-03-19T16:24:36+01:00;5.659
19.03.2024;16:19:36;2024-03-19T16:19:36+01:00;5.659
19.03.2024;16:14:36;2024-03-19T16:14:36+01:00;5.659
19.03.2024;16:09:36;2024-03-19T16:09:36+01:00;5.659
19.03.2024;16:04:36;2024-03-19T16:04:36+01:00;5.659
19.03.2024;15:59:36;2024-03-19T15:59:36+01:00;5.659
19.03.2024;15:54:36;2024-03-19T15:54:36+01:00;5.659
19.03.2024;15:49:36;2024-03-19T15:49:36+01:00;5.659
19.03.2024;15:44:36;2024-03-19T15:44:36+01:00;5.659
19.03.2024;15:39:36;2024-03-19T15:39:36+01:00;5.659
19.03.2024;15:34:36;2024-03-19T15:34:36+01:00;5.659
19.03.2024;15:29:36;2024-03-19T15:29:36+01:00;5.659
19.03.2024;15:24:36;2024-03-19T15:24:36+01:00;5.659
19.03.2024;15:19:36;2024-03-19T15:19:36+01:00;5.659
19.03.2024;15:14:36;2024-03-19T15:14:36+01:00;5.659
19.03.2024;15:09:36;2024-03-19T15:09:36+01:00;5.659
19.03.2024;15:04:36;2024-03-19T15:04:36+01:00;5.659
19.03.2024;14:59:36;2024-03-19T14:59:36+01:00;5.659
19.03.2024;14:54:36;2024-03-19T14:54:36+01:00;5.659
19.03.2024;14:49:36;2024-03-19T14:49:36+01:00;5.659
19.03.2024;14:44:36;2024-03-19T14:44:36+01:00;5.659
19.03.2024;14:39:36;2024-03-19T14:39:36+01:00;5.659
19.03.2024;14:34:36;2024-03-19T14:34:36+01:00;5.659
19.03.2024;14:29:36;2024-03-19T14:29:36+01:00;5.659
19.03.2024;14:24:36;2024-03-19T14:24:36+01:00;5.659
19.03.2024;14:19:36;2024-03-19T14:19:36+01:00;5.659
19.03.2024;14:14:36;2024-03-19T14:14:36+01:00;5.659
19.03.2024;14:09:36;2024-03-19T14:09:36+01:00;5.659
19.03.2024;14:04:36;2024-03-19T14:04:36+01:00;5.659
19.03.2024;13:59:36;2024-03-19T13:59:36+01:00;5.659
19.03.2024;13:54:36;2024-03-19T13:54:36+01:00;5.659
19.03.2024;13:49:36;2024-03-19T13:49:36+01:00;5.659
19.03.2024;13:44:36;2024-03-19T13:44:36+01:00;5.659
19.03.2024;13:39:36;2024-03-19T13:39:36+01:00;5.659
19.03.2024;13:34:36;2024-03-19T13:34:36+01:00;5.659
19.03.2024;13:29:36;2024-03-19T13:29:36+01:00;5.659
19.03.2024;13:24:36;2024-03-19T13:24:36+01:00;5.659
19.03.2024;13:19:36;2024-03-19T13:19:36+01:00;5.659
19.03.2024;13:14:36;2024-03-19T13:14:36+01:00;5.659
19.03.2024;13:09:36;2024-03-19T13:09:36+01:00;5.659
19.03.2024;13:04:36;2024-03-19T13:04:36+01:00;5.659
19.03.2024;12:59:36;2024-03-19T12:59:36+01:00;5.659
19.03.2024;12:54:36;2024-03-19T12:54:36+01:00;5.659
19.03.2024;12:49:36;2024-03-19T12:49:36+01:00;5.659
19.03.2024;12:44:36;2024-03-19T12:44:36+01:00;5.659
19.03.2024;12:39:36;2024-03-19T12:39:36+01:00;5.659
19.03.2024;12:34:36;2024-03-19T12:34:36+01:00;5.659
19.03.2024;12:29:36;2024-03-19T12:29:36+01:00;5.659
19.03.2024;12:24:36;2024-03-19T12:24:36+01:00;5.659
19.03.2024;12:19:36;2024-03-19T12:19:36+01:00;5.659
19.03.2024;12:14:36;2024-03-19T12:14:36+01:00;5.659
19.03.2024;12:09:36;2024-03-19T12:09:36+01:00;5.659
19.03.2024;12:04:36;2024-03-19T12:04:36+01:00;5.659
19.03.2024;11:59:36;2024-03-19T11:59:36+01:00;5.659
19.03.2024;11:54:36;2024-03-19T11:54:36+01:00;5.659
19.03.2024;11:49:36;2024-03-19T11:49:36+01:00;5.659
19.03.2024;11:44:36;2024-03-19T11:44:36+01:00;5.659
19.03.2024;11:39:36;2024-03-19T11:39:36+01:00;5.659
19.03.2024;11:34:36;2024-03-19T11:34:36+01:00;5.659
19.03.2024;11:29:36;2024-03-19T11:29:36+01:00;5.659
